sum_elem_nutr_score,sum_mid_nutr_score,sum_elem_ne_scores,sum_mid_ne_scores,sum_elem_pa_scores,sum_mid_pa_scores,total_elem_wp,total_mid_wp,three_mean_edfa_ela,three_mean_edfa_math,four_mean_edfa_ela,four_mean_edfa_math,five_mean_edfa_ela,five_mean_edfa_math,six_mean_edfa_ela,six_mean_edfa_math,seven_mean_edfa_ela,seven_mean_edfa_math,eight_mean_edfa_ela,eight_mean_edfa_math
27,40,31,33,25,17,83,90,-0.41493735,-0.35991281,-0.3163605,-0.60183853,-0.38703412,-0.48099038,-0.10068545,-0.26864874,0.001922563,-0.30019432,-0.07901492,-0.083187386
21,30,8,10,31,21,60,61,-0.1623787,-0.17878491,-0.31856632,-0.07887733,0.1240109,0.054939881,0.27866831,0.14961252,0.39571169,-0.21696164,0.052593529,-0.062436476
36,38,33,32,31,32,100,102,-0.070349142,-0.23413964,-0.1353678,-0.47013581,0.22524656,0.054147542,0.049976617,0.34979841,0.26552084,0.19065054,-0.12200145,-0.16727281
22,35,26,35,35,28,83,98,-0.081016511,0.12237952,-0.31073982,-0.38075691,0.2522319,0.25190252,0.15109442,-0.72836685,-0.32014403,-0.5152002,-0.069918945,-0.25410697
18,32,34,30,27,21,79,83,0.60142863,0.20774718,0.29199043,0.29132104,0.25312155,0.01123828,0.33664104,0.40092969,0.22752994,0.072089277,0.27683765,0.15154529
37,37,37,31,35,22,109,90,-0.34624952,-0.51691103,0.018181387,-0.39653677,-0.20545559,-0.33029085,0.21213718,-0.22258277,-0.34180236,0.24706431,-0.32814059,-0.1932309
39,41,39,29,33,26,111,96,-0.46852112,-0.16758293,-0.32236928,-0.16147688,-0.49378374,-0.42867571,-0.34238872,-0.15035038,-0.31526598,-0.61316621,-0.1844707,-0.28112268
39,41,21,24,24,17,84,82,0.46740246,0.49507001,0.28486684,0.41023505,0.051373642,0.20786148,0.30092022,0.39118937,0.32818198,0.54154038,0.17987362,0.57262552
18,32,24,24,31,26,73,82,0.66337126,0.47780672,0.10848543,0.30878046,-0.10199785,-0.12123436,0.20418456,0.16158217,-0.27187747,-0.41463527,-0.15365548,-0.045451928
32,45,29,33,33,23,94,101,0.009994214,0.082190037,0.02991581,-0.042062469,0.05446215,0.15668282,-0.17588651,-0.10912057,-0.045177329,0.094060741,-0.15735969,-0.23316792
19,30,23,16,34,24,76,70,0.41154599,0.045734785,0.22768278,0.17501305,0.044427354,-0.17993408,-0.072491743,-0.52148086,-0.12404111,-0.083959512,-0.12737712,-0.21750426
20,35,36,36,39,32,95,103,0.36159042,0.24374737,0.3095544,0.22776027,0.20125197,0.22309726,0.1769134,0.47393328,0.10606972,0.31609198,0.27451953,0.21163288
17,16,20,21,33,32,70,69,,,,,,,0.11840743,-0.14588316,,,,
19,28,26,24,36,31,81,83,,,,,,,,,,,0.062096134,0.76770872
9,9,0,0,0,0,9,9,-0.29388636,-0.52124751,0.10561949,-0.19964525,-0.43476531,-0.20830691,-0.12291642,-0.027788077,-0.13149458,-0.29806861,-0.085666463,-0.28747067
24,29,36,23,34,30,94,82,-0.17873371,0.008068528,-0.24628444,-0.16777726,0.024287285,-0.027558267,0.18816178,0.3689585,0.33130828,0.22578949,0.078821979,0.36667347
22,22,27,25,40,33,89,80,,,,,,,-0.20215169,-0.52602744,-0.51998883,-0.61991644,-0.41817579,-0.71853364
20,27,24,25,39,24,83,76,0.053918414,0.041472096,0.23136836,0.43772253,0.11519592,0.34614664,0.23092481,0.62410641,0.25887287,0.36649969,0.11829203,0.013745472
28,32,28,28,27,22,83,82,0.17244609,0.062360633,0.19782621,0.21814255,0.16307881,0.16926387,0.34785238,0.45606652,0.01665478,0.20035318,0.17294508,0.13084279
24,21,21,12,28,20,73,53,0.48282054,0.60088855,0.45554703,0.2819809,0.30472764,0.044656951,0.38331538,0.26522854,0.53693652,0.36151171,0.56607389,0.21387127
24,24,7,8,27,19,58,51,-0.051896602,-0.22333522,-0.090887636,-0.13128337,-0.060448993,-0.098663814,-0.28612164,-0.44195092,-0.43659961,-0.41333643,-0.30379644,-0.25784653
31,31,41,36,39,33,111,100,0.17500311,-0.18402646,0.2864621,0.37771985,0.35196576,0.38179111,0.4629024,0.79262161,0.12232868,0.17831475,0.17088215,0.014415187
14,27,21,20,27,22,62,69,0.21374947,-0.09693478,0.21683186,0.53517574,0.31283024,-0.21928927,0.60566324,0.56201494,0.3694725,0.10714137,0.26874521,0.69822598
19,25,25,23,33,33,77,81,0.09336447,-0.26176172,-0.15858975,-0.1270007,0.32223862,-0.047445588,0.4581992,0.054118451,0.043232456,0.28128919,0.72736406,0.53804082
20,20,36,36,29,22,85,78,0.32135218,0.17139393,0.053714115,0.091576807,0.00146252,0.45767492,0.047749352,0.20515327,-0.00755729,0.23564623,-0.027746586,0.27515915
27,23,45,38,40,32,112,93,-0.064517811,-0.039194319,-0.16669211,-0.12388457,0.070171237,0.087687388,0.11941041,-0.1245464,0.18134901,0.10500731,-0.032355711,-0.031371213
23,40,45,44,42,36,110,120,-0.10949162,-0.19784053,-0.11620656,-0.056091279,0.067221604,0.039192077,0.17744069,0.28041565,0.23490414,0.14105061,0.12956612,0.37226346
44,44,39,34,33,33,116,111,-0.046829231,-0.18988036,-0.081451349,-0.44187838,,,,,-0.13865677,0.29864806,0.062160678,0.41021961
28,31,33,27,31,20,92,78,0.1933575,0.093105003,-0.11143958,0.14101809,0.072664812,-0.12869923,0.12520985,0.15377304,-0.078799762,-0.32800832,-0.28670287,-0.5136674
20,31,36,27,40,32,96,90,0.07204856,0.25730154,0.14652199,-0.30361679,0.23386976,0.05938109,-0.16104028,-0.11164463,-0.081060514,0.28930205,0.13620023,0.50028348
27,29,15,10,8,13,50,52,-0.037700046,-0.099275641,-0.18034951,-0.26765406,0.062125728,-0.11888444,-0.11826726,-0.088687807,-0.089006424,-0.1405247,-0.060796026,-0.063117936
36,34,48,38,38,35,122,107,-0.22820936,-0.15995166,-0.37258124,-0.29930562,0.10601431,0.15174,-0.002811923,0.087537736,-0.21404219,-0.20696306,0.023542726,0.099083498
25,33,33,33,34,32,92,98,,,0.40907103,0.97437572,0.30109051,-0.013669853,0.15257634,-0.056213405,,,,
13,18,17,17,7,8,37,43,0.26476583,0.01840524,-0.18036422,-0.34303641,-0.060393333,-0.053668618,0.78696287,-0.22653179,0.38558501,-0.031556662,0.23260659,0.071540646
36,55,36,26,37,31,109,112,0.16622762,0.23826072,0.10442,0.006273346,0.005897928,-0.17707922,-0.13765271,-0.2124237,0.12714113,0.43823126,0.08864288,0.14758214
26,29,24,26,40,36,90,91,-0.26975781,-0.01558778,-0.20577584,-0.39787287,0.29509711,0.082759887,-0.18306236,-0.27948767,-0.37099281,-0.62078476,-0.003370615,-0.33501983
43,34,26,20,31,28,100,82,-0.2088393,-0.37001398,0.047745548,0.25955504,0.00132336,0.16482393,-0.004560201,-0.16553941,-0.027082792,-0.090293378,0.19735734,0.28802902
22,29,36,34,29,21,87,84,0.25918403,0.2176818,0.035685714,0.057405621,-0.080351338,-0.23670259,-0.044072878,0.060682081,0.46677497,0.18865323,0.080157071,0.28406975
34,44,44,42,29,15,107,101,-0.66910702,-0.61909395,-0.69652027,-0.64446086,-0.65315264,-0.57720202,-0.79178113,-0.6716451,-0.74860251,-0.5663147,-0.69161505,-0.52268571
30,34,37,34,33,20,100,88,0.10779047,-0.18836413,-0.093424253,0.085597903,0.11138263,0.35392639,-0.014545389,-0.007963811,-0.25078151,-0.15950581,-0.31463441,-0.22792798
31,31,21,21,26,21,78,73,0.20637165,0.17892772,-0.094381437,-0.10647769,-0.17630094,-0.033522412,-0.38593829,-0.31192797,-0.023558652,-0.52309954,0.18326661,-0.41428629
23,23,24,22,27,24,74,69,0.37797636,0.50748384,,,0.073958583,0.22436716,0.063419096,-0.1770363,-0.3973859,-0.52751219,-0.31340149,-0.29920566
19,19,21,21,38,22,78,62,-0.36395702,-0.47244322,0.14610672,0.061950929,-0.36128163,-0.17176341,0.10829298,-0.25849828,-0.13444674,-0.16175005,-0.31473628,-0.19754662
17,0,29,0,29,0,75,0,0.47256875,0.54082286,0.3163524,0.2401468,0.27241451,0.264541,0.32345447,0.25763223,0.31181192,0.52459633,0.21275733,0.31376582
32,33,26,24,34,27,92,84,,,-0.27557844,-0.26599413,,,,,,,-0.19340797,-0.14071395
15,16,30,28,27,23,72,67,0.29445451,0.099344231,-0.13872735,-0.15481736,-0.31710744,-0.31794068,-0.009406384,0.13045211,-0.10249255,0.33458474,-0.06744545,0.05141034
41,44,44,38,30,18,115,100,0.13632993,-0.18172346,0.12679143,-0.14036468,-0.015628919,-0.2016428,0.10863554,-0.15484083,0.31584603,0.20006083,0.23926066,0.20144391
39,39,38,35,28,24,105,98,0.23410368,0.089417979,0.19243371,0.11186823,0.17074743,-0.19141705,0.30173609,0.070412718,0.12013417,-0.061262768,0.17049167,0.013261721
27,42,19,19,20,22,66,83,-0.2394395,-0.38165745,-0.25050765,-0.49906239,-0.53811526,-0.6603781,-0.63279253,-0.8278271,-0.49866322,-0.36975932,-0.33800951,-0.36930108
31,34,24,24,33,27,88,85,0.18363884,0.29669279,-0.074052393,-0.36112207,0.23912002,0.11739785,-0.075163879,0.26289862,-0.081614695,-0.44491836,-0.15630063,-0.16258165
