total_elem_nutr,total_mid_nutr,total_elem_ne,total_mid_ne,total_elem_pa,total_mid_pa,three_ela_change,three_math_change,four_ela_change,four_math_change,five_ela_change,five_math_change,six_ela_change,six_math_change,seven_ela_change,seven_math_change,eight_ela_change,eight_math_change
20,35,36,36,39,32,-0.10789583,0.07838385,0.06344899,0.05373953,0.06456114,0.1069159,0.11635388,-0.093723,0.11044868,0.01807985,0.06191233,0.22429365
17,16,20,21,33,32,,,,,0.3353813,0.16603929,-0.11840743,0.14588316,,,,
9,9,,,,,0.17006711,0.447408293,0.17539242,0.50772726,0.24507003,0.189095098,-0.28385402,-0.203590463,0.095396353,0.52656211,0.074754048,-0.00952449
24,29,36,23,34,30,0.02389337,-0.144405138,-0.03317969,-0.02905146,-0.156252415,-0.071017563,-0.221644875,-0.18346779,-0.241429281,-0.09953527,-0.025283299,0.01201165
22,22,27,25,40,33,,,,,,,0.216302681,0.555975511,0.21246534,-0.02266318,-0.15586731,-0.22234684
20,27,24,25,39,24,0.080305136,-0.108527321,-0.08972925,-0.54410102,-0.023539369,-0.45963682,-0.166082198,-0.08733058,-0.227058626,-0.47003227,-0.00400827,-0.197489502
28,32,28,28,27,22,0.03662175,0.197759487,-0.103604976,-0.164729271,0.28111771,-0.01798852,-0.335536563,-0.48160405,0.1875458,0.01550439,-0.154014835,-0.26203677
24,21,21,12,28,20,-0.11430147,-0.29608032,-0.08289626,-0.12486936,-0.07926483,0.011778127,0.01036153,0.0299682,-0.05578261,-0.02042786,0.02214212,0.11144078
24,24,7,8,27,19,0.268313412,0.52736334,0.036405549,0.062178482,0.13172916,0.099681506,-0.0161727,0.26604492,0.23091724,0.20891487,0.01487988,0.08618855
31,31,41,36,39,33,-0.222599412,-0.07805844,0.15943104,-0.300924972,0.01866966,-0.06306946,-0.07179392,0.00360841,0.30767675,0.36784482,-0.082939118,0.057168732
14,27,21,20,27,22,-0.220694814,0.116462077,0.2282874,0.30835414,0.06797475,0.41308358,-0.3830414,-0.557186483,-0.08923196,0.13237067,0.1840863,0.03428715
19,25,25,23,33,33,0.02158371,0.68587771,0.210205823,0.205884244,-0.4372997,-0.01672899,0.01808945,0.079762169,0.206025454,0.22034976,-0.53191888,-0.31531647
20,20,36,36,29,22,0.11717961,-0.105998441,0.449736335,0.133429263,0.034958492,-0.10337347,0.113032318,-0.21936689,0.32469248,0.08804201,0.00884383,-0.16648481
27,23,45,38,40,32,-0.060670409,-0.159676251,0.180500899,-0.14653816,-0.026358567,-0.127545323,0.06975479,0.23015059,-0.07793503,-0.31568957,0.264352101,0.157668243
23,40,45,44,42,36,0.34617985,0.30017273,-0.11134971,0.168213039,-0.021613866,0.029261116,-0.32657425,-0.15081733,-0.01253174,0.18990391,0.19273464,-0.06422156
44,44,39,34,33,33,0.046829231,0.18988036,-0.228848081,-0.73504542,-0.35688704,-0.62744725,,,-0.53577896,-0.51467085,-0.169537378,-0.325119734
28,31,33,27,31,20,-0.0433852,-0.0519353,-0.15209827,-0.51481166,-0.206664532,-0.62434961,0.18452461,-0.49039939,0.338514632,0.10947968,0.40604281,0.415879789
20,31,36,27,40,32,-0.33199067,-0.56663528,0.0671627,-0.00774396,-0.01051803,0.003511138,0.135921374,0.25739894,0.064476444,0.03364787,-0.198390144,-0.31451909
27,29,15,10,8,13,0.067718476,-0.003851889,0.02537265,-0.113132,-0.286681008,-0.19794411,0.107700288,-0.016727963,-0.110147546,0.102847669,-0.048501284,-0.024103098
36,34,48,38,38,35,0.03329004,0.4437047,0.12652337,-0.0135746,-0.199506363,-0.30947198,-0.087255009,-0.001059093,0.178029488,0.108889309,-0.165974176,-0.11908311
